,train Error rate,train Loss,test Error rate,test Loss
105,78.672,2.044623163350098,78.05,2.0411911857128144
106,78.544,2.044371530527959,78.86999999999999,2.027038586139679
107,78.498,2.044453734022272,78.84,2.047314292192459
108,78.574,2.0455717955099044,82.48,2.1198357200622557
109,78.7,2.043093768836897,76.96000000000001,2.0065245711803437
110,78.414,2.0447142258324584,77.92,2.024059946537018
111,78.324,2.041739157398643,77.52,2.0144646906852723
112,78.304,2.0422127030389694,79.53,2.0897079145908357
113,78.182,2.0398826864369384,77.92999999999999,2.014317408800125
114,78.274,2.0397406194521035,76.66999999999999,2.008538694381714
115,78.11399999999999,2.038866525720757,76.89,2.0093292772769926
116,78.058,2.03920332763506,76.61,2.0077986896038054
117,77.976,2.036012561424919,76.13,2.003120082616806
118,77.922,2.0371958831387103,83.64,2.2000961923599243
119,77.958,2.0372062180658133,76.78,2.006553775072098
120,77.738,2.029801869026535,81.67999999999999,2.124759854078293
121,77.778,2.0339986787122837,76.61,1.9966418540477753
122,77.584,2.026194635864414,76.17,1.9834846329689027
123,77.40400000000001,2.024041256941188,76.44999999999999,1.9819049119949341
124,77.334,2.023306884424156,76.0,1.980212880373001
125,77.262,2.0246849947268397,75.79,1.982005478143692
126,77.366,2.0240971429268724,75.69,1.9782802057266236
127,77.37,2.02241104124757,75.8,1.9787759697437286
128,77.088,2.023357205683618,75.83,1.9824355936050415
129,77.214,2.0190575293567785,75.4,1.9809527003765106
130,77.156,2.02112752397347,75.59,1.9799282872676849
131,77.10000000000001,2.023122454848131,75.73,1.9784443843364716
132,77.084,2.020690510035171,76.28,1.9818505561351776
133,77.11399999999999,2.0196211411215157,75.39,1.979091342687607
134,76.91399999999999,2.0179837518335915,75.5,1.979490237236023
135,77.02799999999999,2.019311263738081,75.62,1.9812661969661713
136,76.95,2.0153695204678703,75.58,1.9772050654888154
137,77.166,2.0192418485651236,75.63,1.9770347130298616
138,77.152,2.0168364548012425,75.38,1.978842762708664
139,77.122,2.0227125081259882,75.6,1.9786687088012695
140,77.08200000000001,2.019340209338976,75.46,1.9786417174339295
141,76.872,2.017094575840494,75.35000000000001,1.9769967687129975
142,76.92,2.018219652078341,75.39,1.9755168235301972
143,76.876,2.0206390225978765,75.25,1.974953899383545
144,77.006,2.0167403623576052,75.38,1.9737754940986634
145,77.006,2.0176813129878717,75.44999999999999,1.9748854660987853
146,76.958,2.015234631345705,75.58,1.9793670618534087
147,77.042,2.014645186836457,75.78,1.9758080446720123
148,77.01,2.017321872284345,75.4,1.9748875379562378
149,77.118,2.0164073602012964,75.57000000000001,1.9753824031352998
150,77.17,2.0176534177092336,75.82,1.9863413453102112
151,76.958,2.0131055128848767,75.35000000000001,1.9776998209953307
152,76.62599999999999,2.0130301396865065,75.48,1.971620137691498
153,76.788,2.0155177515790896,75.44,1.976035591363907
154,77.11600000000001,2.0145651403900304,75.83,1.9772953402996063
155,76.826,2.0152330142457773,75.41,1.9734462761878968
156,76.948,2.0177227072703565,75.44,1.9727800321578979
157,76.69399999999999,2.0116135604546197,75.83,1.9768033373355864
158,77.086,2.017951033914181,75.53,1.9832761299610138
159,76.782,2.0116077908469587,75.63,1.9742699790000915
160,76.63,2.0130801524042776,75.53,1.97526198387146
161,76.82,2.0142833409102066,75.27000000000001,1.975520477294922
162,76.73400000000001,2.012883104021897,75.71,1.9718481254577638
163,76.742,2.011762929694427,75.17,1.9722092509269715
